Disease,Symptoms
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, nail, skin, pain, joint, sym15"
Psoriasis,"skin_rash, nail, skin, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Psoriasis,"joint_pain, skin_rash, nail, skin, pain, joint, sym15"
Impetigo,"high_fever, skin_rash, red, yellow, skin, fever, nose, sym14"
Impetigo,"high_fever, skin_rash, red, yellow, skin, fever, nose, sym14"
Impetigo,"high_fever, red, yellow, fever, nose, sym14"
Impetigo,"skin_rash, red, yellow, skin, nose, sym14"
Impetigo,"skin_rash, red, yellow, skin, nose, sym14"
Impetigo,"high_fever, skin_rash, red, yellow, skin, fever, nose, sym14"
Impetigo,"high_fever, skin_rash, yellow, skin, fever, sym14"
Impetigo,"high_fever, skin_rash, red, skin, fever, nose, sym14"
Impetigo,"high_fever, skin_rash, red, yellow, skin, fever, nose, sym14"
Impetigo,"skin_rash, red, yellow, skin, nose, sym14"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin_rash, patch, itch, skin"
Fungal infection,"dischromic_patches, nodal_skin_eruptions, skin_rash, patch, skin"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, patch, itch, skin"
Fungal infection,"dischromic_patches, itching, skin_rash, patch, itch, skin"
Fungal infection,"itching, nodal_skin_eruptions, skin_rash, itch, skin"
Fungal infection,"dischromic_patches, nodal_skin_eruptions, skin_rash, patch, skin"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, patch, itch, skin"
Fungal infection,"dischromic_patches, itching, skin_rash, patch, itch, skin"
Fungal infection,"itching, nodal_skin_eruptions, skin_rash, itch, skin"
Fungal infection,"dischromic_patches, itching, nodal_skin_eruptions, skin_rash, patch, itch, skin"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, shivering, watering_from_eyes, eye"
Allergy,"chills, continuous_sneezing, watering_from_eyes, continuous, eye"
Allergy,"continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, continuous_sneezing, shivering, continuous"
Allergy,"chills, shivering, watering_from_eyes, eye"
Allergy,"chills, continuous_sneezing, watering_from_eyes, continuous, eye"
Allergy,"continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
Allergy,"chills, continuous_sneezing, shivering, continuous"
Allergy,"chills, continuous_sneezing, shivering, watering_from_eyes, continuous, eye"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, stomach, pain"
GERD,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, stomach, pain"
GERD,"acidity, chest_pain, cough, stomach_pain, vomiting, stomach, pain"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, stomach, pain"
GERD,"acidity, chest_pain, stomach_pain, ulcers_on_tongue, vomiting, stomach, pain"
GERD,"acidity, cough, stomach_pain, ulcers_on_tongue, vomiting, stomach, pain"
GERD,"acidity, chest_pain, cough, ulcers_on_tongue, vomiting, pain"
GERD,"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, stomach, pain"
GERD,"acidity, chest_pain, cough, stomach_pain, vomiting, stomach, pain"
GERD,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, stomach, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin, pain"
Chronic cholestasis,"abdominal_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, appetite, loss, eye, skin, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellow, itch, appetite, loss, eye, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin, pain"
Chronic cholestasis,"abdominal_pain, itching, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, eye, skin, pain"
Chronic cholestasis,"itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowish_skin, yellow, itch, appetite, loss, skin, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin, pain"
Chronic cholestasis,"abdominal_pain, itching, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin, yellow, itch, appetite, loss, eye, skin, pain"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, stomach_pain, stomach, spot, itch, skin, pain"
Drug Reaction,"burning_micturition, itching, spotting_urination, stomach_pain, stomach, spot, itch, pain"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, spot, itch, skin"
Drug Reaction,"itching, skin_rash, spotting_urination, stomach_pain, stomach, spot, itch, skin, pain"
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain, stomach, itch, skin, pain"
Drug Reaction,"burning_micturition, skin_rash, spotting_urination, stomach_pain, stomach, spot, skin, pain"
Drug Reaction,"burning_micturition, itching, spotting_urination, stomach_pain, stomach, spot, itch, pain"
Drug Reaction,"burning_micturition, itching, skin_rash, spotting_urination, spot, itch, skin"
Drug Reaction,"itching, skin_rash, spotting_urination, stomach_pain, stomach, spot, itch, skin, pain"
Drug Reaction,"burning_micturition, itching, skin_rash, stomach_pain, stomach, itch, skin, pain"
Peptic ulcer diseae,"abdominal_pain, loss_of_appetite, vomiting, itch, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, vomiting, itch, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, itch, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, loss_of_appetite, vomiting, itch, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, vomiting, itch, pain, sym12"
Peptic ulcer diseae,"indigestion, loss_of_appetite, vomiting, itch, appetite, loss, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, appetite, loss, pain, sym12"
Peptic ulcer diseae,"abdominal_pain, indigestion, loss_of_appetite, vomiting, itch, appetite, loss, pain, sym12"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, patch, throat, fever, muscle"
AIDS,"extra_marital_contacts, high_fever, patches_in_throat, patch, throat, fever"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, fever, muscle"
AIDS,"extra_marital_contacts, muscle_wasting, patches_in_throat, patch, throat, muscle"
AIDS,"high_fever, muscle_wasting, patches_in_throat, patch, throat, fever, muscle"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, patch, throat, fever, muscle"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat, patch, throat, fever, muscle"
AIDS,"extra_marital_contacts, high_fever, patches_in_throat, patch, throat, fever"
AIDS,"extra_marital_contacts, high_fever, muscle_wasting, fever, muscle"
AIDS,"high_fever, muscle_wasting, patches_in_throat, patch, throat, fever, muscle"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, appetite, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"excessive_hunger, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, lethargy, restlessness, weight_loss, appetite, weight, loss, sym7"
Diabetes ,"blurred_and_distorted_vision, fatigue, lethargy, obesity, restlessness, weight_loss, appetite, weight, loss, sym7"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, eye"
Gastroenteritis,"dehydration, diarrhoea, vomiting"
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting, eye"
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, eye"
Gastroenteritis,"dehydration, diarrhoea, vomiting"
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting, eye"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, mucoid_sputum, history, sputum"
Bronchial Asthma,"cough, family_history, fatigue, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, cough, fatigue, high_fever, mucoid_sputum, fever, sputum"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, history, fever"
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum, history, fever, sputum"
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum, history, fever, sputum"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance, loss, pain"
Hypertension ,"chest_pain, dizziness, lack_of_concentration, loss_of_balance, loss, pain"
Hypertension ,"dizziness, headache, lack_of_concentration, loss_of_balance, loss"
Hypertension ,"chest_pain, headache, lack_of_concentration, loss_of_balance, loss, pain"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, pain"
Hypertension ,"chest_pain, dizziness, headache, loss_of_balance, loss, pain"
Hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance, loss, pain"
Hypertension ,"chest_pain, dizziness, lack_of_concentration, loss_of_balance, loss, pain"
Hypertension ,"dizziness, headache, lack_of_concentration, loss_of_balance, loss"
Hypertension ,"chest_pain, headache, lack_of_concentration, loss_of_balance, loss, pain"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, headache, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, stiff_neck, visual_disturbances, neck, stiff"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, neck, stiff"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, loss, neck, pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, weakness_in_limbs, loss, weakness, pain"
Cervical spondylosis,"back_pain, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"back_pain, dizziness, neck_pain, weakness_in_limbs, neck, weakness, pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs, loss, neck, weakness, pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, loss, neck, pain"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, body, weakness, sym19"
Paralysis (brain hemorrhage),"vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, body, weakness, sym19"
Paralysis (brain hemorrhage),"vomiting, body, weakness, sym19"
Paralysis (brain hemorrhage),"headache, vomiting, sym19"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, vomiting, weight_loss, yellowish_skin, yellow, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, yellowish_skin, yellow, itch, urine, skin, fever, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, pain"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, itch, urine, weight, loss, fever, pain"
Jaundice,"abdominal_pain, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, weight, loss, skin, fever, pain"
Jaundice,"dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin, yellow, itch, urine, weight, loss, skin, fever"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
Malaria,"diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting, fever, pain, muscle"
